ID,Deck Text,Matched Deck
20,Roaring Moon Flutter Mane Great Tusk Pecharunt ex Fezandipiti ex Brute Bonnet Radiant Greninja Iron Bundle Roaring Moon ex,Roaring Moon ex
21,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Lumineon V Rotom V Fezandipiti ex Radiant Charizard,Charizard ex
22,Hoothoot Noctowl Terapagos ex Pidgey Pidgeot ex Duskull Dusknoir Fan Rotom Bouffalant Regidrago V Regidrago VSTAR Fezandipiti ex Bloodmoon Ursaluna ex,Terapagos ex
23,Frigibax Frigibax Baxcalibur Bidoof Bibarel Chien-Pao ex Origin Forme Palkia V Origin Forme Palkia VSTAR Iron Hands ex Lumineon V Radiant Greninja,Chien-Pao Baxcalibur
24,Roaring Moon ex Squawkabilly ex Koraidon Roaring Moon Fezandipiti ex Radiant Greninja Pecharunt ex Latias ex,Roaring Moon ex
25,Pidgey Pidgeot ex Rotom V Snorlax Cornerstone Mask Ogerpon ex Mimikyu Chi-Yu ex Luxray V,Snorlax Stall PGO
26,Lugia V Lugia VSTAR Archeops Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Wyrdeer V Iron Hands ex Fezandipiti ex Squawkabilly ex Flutter Mane,Lugia Archeops
27,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
28,Ralts Ralts Kirlia Gardevoir ex Drifloon Scream Tail Munkidori Klefki Spiritomb Fezandipiti ex Radiant Greninja Manaphy,Gardevoir ex
29,Gimmighoul Gholdengo ex Origin Forme Palkia V Origin Forme Palkia VSTAR Lumineon V Radiant Greninja Manaphy Fezandipiti ex,Gholdengo ex
30,Roaring Moon Koraidon Flutter Mane Great Tusk Walking Wake Radiant Greninja,Ancient Box
31,Raging Bolt ex Teal Mask Ogerpon ex Squawkabilly ex Fezandipiti ex Radiant Greninja Slither Wing,Raging Bolt ex
32,Raging Bolt ex Teal Mask Ogerpon ex Radiant Greninja Fezandipiti ex Squawkabilly ex,Raging Bolt ex
33,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Rotom V Lumineon V Fezandipiti ex,Charizard ex
34,Lugia V Lugia VSTAR Archeops Minccino Cinccino Lumineon V Wellspring Mask Ogerpon ex Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Klefki,Lugia Archeops
35,Roaring Moon Koraidon Flutter Mane Walking Wake Radiant Greninja,Ancient Box
36,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Rotom V Lumineon V Fezandipiti ex,Charizard ex
37,Ralts Kirlia Gardevoir ex Drifloon Scream Tail Munkidori Klefki Mimikyu Radiant Greninja Fezandipiti ex,Gardevoir ex
38,Terapagos ex Hoothoot Noctowl Pidgey Pidgeot ex Duskull Dusknoir Fan Rotom Bouffalant Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
39,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Mew ex Fezandipiti ex,Palkia VSTAR
40,Raging Bolt ex Teal Mask Ogerpon ex Squawkabilly ex Fezandipiti ex Radiant Greninja Slither Wing Iron Bundle,Raging Bolt ex
41,Teal Mask Ogerpon ex Regidrago V Regidrago VSTAR Dragapult ex Giratina VSTAR Mew ex Kyurem Hisuian Goodra VSTAR Cleffa Squawkabilly ex Haxorus,Regidrago VSTAR
42,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
43,Gimmighoul Gholdengo ex Origin Forme Palkia V Origin Forme Palkia VSTAR Radiant Greninja Fezandipiti ex Spiritomb,Gholdengo ex
44,Teal Mask Ogerpon ex Regidrago V Regidrago VSTAR Dragapult ex Giratina VSTAR Mew ex Kyurem Hisuian Goodra VSTAR Cleffa Squawkabilly ex Haxorus,Regidrago VSTAR
45,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Lumineon V Rotom V Fezandipiti ex,Charizard ex
46,Ralts Kirlia Gardevoir ex Drifloon Scream Tail Munkidori Klefki Radiant Greninja Fezandipiti ex Spiritomb,Gardevoir ex
47,Terapagos ex Hoothoot Noctowl Duskull Dusknoir Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex Manaphy,Terapagos ex
48,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Cleffa Radiant Charizard,Regidrago VSTAR
49,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Cleffa Radiant Charizard,Regidrago VSTAR
50,Hoothoot Hoothoot Noctowl Duskull Dusclops Dusknoir Charmander Charizard ex Fan Rotom Terapagos ex Pidgey Pidgeot ex Manaphy Radiant Charizard Fezandipiti ex,Terapagos ex
51,Iron Thorns ex,Iron Thorns ex
52,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Fezandipiti ex Mew ex Giratina VSTAR Kyurem Radiant Charizard Cleffa Squawkabilly ex Hisuian Goodra VSTAR,Regidrago VSTAR
53,Roaring Moon ex Pecharunt ex Roaring Moon Fezandipiti ex Radiant Greninja Squawkabilly ex Iron Bundle,Roaring Moon ex
54,Charmander Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Rotom V Lumineon V Fezandipiti ex Cleffa,Charizard ex
55,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Lumineon V Fezandipiti ex Cleffa Rotom V Radiant Charizard,Charizard ex
56,Origin Forme Palkia V Origin Forme Palkia VSTAR Duskull Dusclops Dusknoir Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Mew ex,Palkia VSTAR
57,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
58,Comfey Sableye Cramorant Radiant Greninja Raikou V Iron Hands ex Bloodmoon Ursaluna ex Fezandipiti ex Manaphy Spiritomb,Lost Zone Box
59,Raging Bolt ex Teal Mask Ogerpon ex Fezandipiti ex Lumineon V Squawkabilly ex Slither Wing Radiant Greninja,Raging Bolt ex
60,Miraidon ex Raikou V Iron Hands ex Zapdos Squawkabilly ex Bloodmoon Ursaluna ex Fezandipiti ex Mew ex Mewtwo ex Iron Bundle,Miraidon ex
61,Snorlax Mimikyu Rotom V Regieleki Cornerstone Mask Ogerpon ex,Snorlax Stall PGO
62,Ralts Kirlia Gardevoir ex Drifloon Scream Tail Munkidori Klefki Spiritomb Radiant Greninja Fezandipiti ex,Gardevoir ex
63,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Squawkabilly ex Radiant Greninja Mew ex Fezandipiti ex Bloodmoon Ursaluna ex,Palkia VSTAR
64,Gouging Fire ex Delphox V Flutter Mane Mew ex Lumineon V Radiant Greninja Entei V Fezandipiti ex Munkidori Squawkabilly ex,Gouging Fire ex
65,Archeops Lugia V Lugia VSTAR Minccino Cinccino Lumineon V Wellspring Mask Ogerpon ex Raikou V Iron Hands ex Bloodmoon Ursaluna ex Squawkabilly ex,Lugia Archeops
66,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Hisuian Goodra VSTAR Giratina VSTAR Kyurem Radiant Charizard Mew ex Squawkabilly ex Cleffa Fezandipiti ex,Regidrago VSTAR
67,Archeops Lugia V Lugia VSTAR Minccino Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Iron Hands ex Wellspring Mask Ogerpon ex,Lugia Archeops
68,Hoothoot Noctowl Terapagos ex Duskull Dusknoir Fan Rotom Bouffalant Pidgey Pidgeot ex Regidrago V Regidrago VSTAR Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
69,Lugia V Lugia VSTAR Archeops Minccino Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Iron Hands ex Wellspring Mask Ogerpon ex,Lugia Archeops
70,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Cleffa Radiant Charizard,Regidrago VSTAR
71,Terapagos ex Hoothoot Noctowl Pidgey Pidgeot ex Duskull Duskull Dusknoir Fan Rotom Bouffalant Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
72,Teal Mask Ogerpon ex Regidrago V Regidrago VSTAR Dragapult ex Giratina VSTAR Mew ex Kyurem Hisuian Goodra VSTAR Cleffa Squawkabilly ex Haxorus,Regidrago VSTAR
73,Shuppet Banette ex Banette Ralts Ralts Kirlia Gardevoir ex Munkidori Mew ex Spiritomb Scream Tail,Banette ex
74,Shuppet Banette ex Banette Ralts Kirlia Gardevoir ex Munkidori Mew ex Spiritomb Scream Tail,Banette ex
75,Iron Thorns ex,Iron Thorns ex
76,Iron Thorns ex,Iron Thorns ex
77,Snorlax Mimikyu Rotom V Cornerstone Mask Ogerpon ex Regieleki Pidgeot V,Snorlax Stall PGO
78,Ralts Kirlia Gardevoir ex Scream Tail Drifloon Radiant Greninja Munkidori Spiritomb Klefki Fezandipiti ex,Gardevoir ex
79,Comfey Cramorant Sableye Radiant Greninja Bloodmoon Ursaluna ex Iron Hands ex Iron Thorns ex,Lost Zone Box
80,Hoothoot Hoothoot Noctowl Terapagos ex Duskull Dusclops Dusknoir Fan Rotom Pidgey Pidgeot ex Manaphy Fezandipiti ex Bloodmoon Ursaluna ex,Terapagos ex
81,Hoothoot Noctowl Terapagos ex Origin Forme Palkia V Origin Forme Palkia VSTAR Fan Rotom Radiant Greninja Spiritomb Volbeat Illumise Fezandipiti ex,Terapagos ex
82,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
83,Ralts Kirlia Gardevoir ex Munkidori Drifloon Scream Tail Flutter Mane Klefki Radiant Greninja Manaphy,Gardevoir ex
84,Comfey Sableye Iron Hands ex Radiant Greninja Spiritomb Cramorant Bloodmoon Ursaluna ex Fezandipiti ex Manaphy,Lost Zone Box
85,Ralts Kirlia Gardevoir ex Fezandipiti ex Spiritomb Scream Tail Munkidori Klefki Drifloon Radiant Greninja,Gardevoir ex
86,Hoothoot Hoothoot Noctowl Terapagos ex Duskull Duskull Dusknoir Fan Rotom Bouffalant Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
87,Gimmighoul Gholdengo ex Spiritomb Origin Forme Palkia V Origin Forme Palkia VSTAR Radiant Greninja Fezandipiti ex,Gholdengo ex
88,Iron Thorns ex,Iron Thorns ex
89,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Squawkabilly ex Mew ex Fezandipiti ex Kyurem Radiant Charizard Hisuian Goodra VSTAR Cleffa,Regidrago VSTAR
90,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
91,Raging Bolt ex Teal Mask Ogerpon ex Radiant Greninja Fezandipiti ex Squawkabilly ex,Raging Bolt ex
92,Iron Thorns ex,Iron Thorns ex
93,Raging Bolt ex Teal Mask Ogerpon ex Radiant Greninja Fezandipiti ex Squawkabilly ex Slither Wing,Raging Bolt ex
94,Archeops Lugia V Lugia VSTAR Minccino Minccino Cinccino Lumineon V Fezandipiti ex Bloodmoon Ursaluna ex Klefki Iron Hands ex Wyrdeer V,Lugia Archeops
95,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Lumineon V Fezandipiti ex Manaphy Rotom V Radiant Charizard,Charizard ex
96,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Hoothoot Noctowl Dragapult ex Giratina VSTAR Squawkabilly ex Fezandipiti ex Kyurem Cleffa Radiant Charizard Haxorus Hawlucha,Regidrago VSTAR
97,Archeops Lugia V Lugia VSTAR Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Klefki Wyrdeer V Wellspring Mask Ogerpon ex,Lugia Archeops
98,Hoothoot Noctowl Origin Forme Palkia V Origin Forme Palkia VSTAR Terapagos ex Fan Rotom Ditto Wellspring Mask Ogerpon ex Bloodmoon Ursaluna ex Fezandipiti ex Radiant Greninja,Terapagos ex
99,Gimmighoul Gholdengo ex Dunsparce Dudunsparce Fan Rotom Radiant Greninja Fezandipiti ex,Gholdengo ex
100,Okidogi Radiant Charizard Munkidori Cleffa Fezandipiti ex Bloodmoon Ursaluna ex Cornerstone Mask Ogerpon ex,Cornerstone Ogerpon ex
101,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Fezandipiti ex Lumineon V Rotom V,Charizard ex
102,Lugia V Lugia VSTAR Archeops Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Wyrdeer V Iron Hands ex Wellspring Mask Ogerpon ex,Lugia Archeops
103,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Mew ex,Palkia VSTAR
104,Raging Bolt ex Teal Mask Ogerpon ex Squawkabilly ex Fezandipiti ex Radiant Greninja Iron Bundle Slither Wing,Raging Bolt ex
105,Duskull Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Mew ex,Palkia VSTAR
106,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Hisuian Goodra VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Iron Leaves ex Radiant Charizard Hawlucha,Regidrago VSTAR
107,Gimmighoul Gholdengo ex Bidoof Bibarel Origin Forme Palkia V Origin Forme Palkia VSTAR Radiant Greninja Fezandipiti ex,Gholdengo ex
108,Dreepy Drakloak Dragapult ex Pidgey Pidgey Pidgeot ex Lumineon V Rotom V Fezandipiti ex Cleffa Radiant Alakazam Hawlucha Manaphy,Dragapult ex
109,Terapagos ex Hoothoot Noctowl Duskull Dusknoir Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
110,Iron Thorns ex,Iron Thorns ex
111,Comfey Sableye Cramorant Radiant Greninja Bloodmoon Ursaluna ex Iron Hands ex Raikou V Spiritomb Manaphy,Lost Zone Box
112,Dreepy Drakloak Dragapult ex Pidgey Pidgeot ex Rotom V Fezandipiti ex Radiant Alakazam Hawlucha,Dragapult ex
113,Snorlax Mimikyu Rotom V Cornerstone Mask Ogerpon ex Diancie,Snorlax Stall PGO
114,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Cleffa Radiant Charizard,Regidrago VSTAR
115,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
116,Archeops Lugia V Lugia VSTAR Minccino Cinccino Lumineon V Iron Hands ex Bloodmoon Ursaluna ex,Lugia Archeops
117,Archeops Lugia V Lugia VSTAR Lumineon V Minccino Cinccino Wyrdeer V Iron Hands ex Wellspring Mask Ogerpon ex Bloodmoon Ursaluna ex Iron Bundle Squawkabilly ex,Lugia Archeops
118,Raging Bolt ex Teal Mask Ogerpon ex Radiant Greninja Fezandipiti ex Squawkabilly ex,Raging Bolt ex
119,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Hoothoot Noctowl Giratina VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex Cleffa Radiant Charizard,Regidrago VSTAR
120,Lugia V Lugia VSTAR Archeops Lumineon V Minccino Cinccino Iron Hands ex Bloodmoon Ursaluna ex Wyrdeer V Wellspring Mask Ogerpon ex Squawkabilly ex,Lugia Archeops
121,Snorlax Mimikyu Cornerstone Mask Ogerpon ex,Snorlax Stall PGO
122,Origin Forme Palkia V Origin Forme Palkia VSTAR Duskull Dusclops Dusknoir Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Mew ex,Palkia VSTAR
123,Gouging Fire ex Entei V Delphox V Moltres Squawkabilly ex Fezandipiti ex Mew ex Lumineon V Radiant Greninja Munkidori Flutter Mane,Gouging Fire ex
124,Teal Mask Ogerpon ex Regidrago V Regidrago VSTAR Dragapult ex Cleffa Haxorus Giratina VSTAR Mew ex Hisuian Goodra VSTAR Kyurem Squawkabilly ex,Regidrago VSTAR
125,Lugia V Lugia VSTAR Archeops Lumineon V Minccino Cinccino Squawkabilly ex Bloodmoon Ursaluna ex Iron Hands ex Raikou V Wyrdeer V Great Tusk ex Klefki,Lugia Archeops
126,Raging Bolt ex Teal Mask Ogerpon ex Squawkabilly ex Fezandipiti ex Lumineon V Radiant Greninja Iron Bundle Slither Wing,Raging Bolt ex
127,Comfey Sableye Cramorant Radiant Greninja Bloodmoon Ursaluna ex Iron Hands ex Spiritomb,Lost Zone Box
128,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Bloodmoon Ursaluna ex Squawkabilly ex Fezandipiti ex Mew ex Rotom V,Palkia VSTAR
129,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Rotom V Lumineon V Fezandipiti ex Cleffa,Charizard ex
130,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard Hoothoot Noctowl,Regidrago VSTAR
131,Archeops Lugia V Lugia VSTAR Minccino Cinccino Lumineon V Squawkabilly ex Wyrdeer V Iron Hands ex Bloodmoon Ursaluna ex,Lugia Archeops
132,Terapagos ex Hoothoot Noctowl Duskull Dusknoir Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex Manaphy,Terapagos ex
133,Lugia V Lugia VSTAR Archeops Lumineon V Minccino Cinccino Bloodmoon Ursaluna ex Wyrdeer V Iron Hands ex Raikou V Wellspring Mask Ogerpon ex,Lugia Archeops
134,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Mew ex Bloodmoon Ursaluna ex Fezandipiti ex Squawkabilly ex,Palkia VSTAR
135,Raging Bolt ex Teal Mask Ogerpon ex Radiant Greninja Fezandipiti ex Squawkabilly ex,Raging Bolt ex
136,Archeops Lugia V Lugia VSTAR Minccino Cinccino Lumineon V Squawkabilly ex Wyrdeer V Iron Hands ex Bloodmoon Ursaluna ex,Lugia Archeops
137,Snorlax Mimikyu Rotom V Cornerstone Mask Ogerpon ex Pidgeot V Regieleki,Snorlax Stall PGO
138,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Rotom V Fezandipiti ex Lumineon V Radiant Charizard,Charizard ex
139,Archeops Lugia V Lugia VSTAR Lumineon V Minccino Cinccino Bloodmoon Ursaluna ex Wellspring Mask Ogerpon ex Iron Bundle Squawkabilly ex Fezandipiti ex Iron Hands ex Wyrdeer V Klefki,Lugia Archeops
140,Snorlax Cornerstone Mask Ogerpon ex Rotom V Mimikyu Pidgeot V,Snorlax Stall PGO
141,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Fezandipiti ex Bloodmoon Ursaluna ex,Terapagos ex
142,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
143,Raging Bolt ex Teal Mask Ogerpon ex Squawkabilly ex Fezandipiti ex Radiant Greninja Sandy Shocks,Raging Bolt ex
144,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Fezandipiti ex Rotom V Lumineon V Cleffa,Charizard ex
145,Dreepy Drakloak Dragapult ex Duskull Dusclops Dusknoir Rotom V Lumineon V Fezandipiti ex Radiant Alakazam Tatsugiri,Dragapult ex
146,Ralts Ralts Kirlia Gardevoir ex Munkidori Drifloon Scream Tail Mimikyu Klefki Radiant Greninja Manaphy,Gardevoir ex
147,Dreepy Drakloak Dragapult ex Duskull Dusclops Dusknoir Rotom V Lumineon V Fezandipiti ex Radiant Alakazam Tatsugiri,Dragapult ex
148,Dreepy Drakloak Dragapult ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Lumineon V Rotom V Fezandipiti ex Radiant Alakazam,Dragapult ex
149,Iron Thorns ex,Iron Thorns ex
150,Klawf Brute Bonnet Radiant Hisuian Sneasler Squawkabilly ex Bloodmoon Ursaluna ex Lumineon V Fezandipiti ex Iron Bundle,Klawf Unhinged Scissors
151,Raging Bolt ex Teal Mask Ogerpon ex Sandy Shocks Fezandipiti ex Squawkabilly ex Radiant Greninja,Raging Bolt ex
152,Terapagos ex Hoothoot Noctowl Duskull Dusclops Dusknoir Bouffalant Fan Rotom Pidgey Pidgeot ex Fezandipiti ex Bloodmoon Ursaluna ex,Terapagos ex
153,Duskull Dusclops Dusknoir Origin Forme Palkia V Origin Forme Palkia VSTAR Froakie Greninja ex Radiant Greninja Mew ex Bloodmoon Ursaluna ex Fezandipiti ex Squawkabilly ex,Palkia VSTAR
154,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex Manaphy,Terapagos ex
155,Archeops Lugia V Lugia VSTAR Minccino Minccino Cinccino Lumineon V Bloodmoon Ursaluna ex Fezandipiti ex Iron Hands ex Wellspring Mask Ogerpon ex,Lugia Archeops
156,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
157,Klawf Brute Bonnet Bloodmoon Ursaluna ex Lumineon V Squawkabilly ex Fezandipiti ex Radiant Hisuian Sneasler,Klawf Unhinged Scissors
158,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Fan Rotom Pidgey Pidgeot ex Bloodmoon Ursaluna ex Fezandipiti ex,Terapagos ex
159,Iron Thorns ex,Iron Thorns ex
160,Snorlax Mimikyu Rotom V Cornerstone Mask Ogerpon ex Pidgeot V Chi-Yu ex,Snorlax Stall PGO
161,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Rotom V Lumineon V Radiant Charizard Cleffa Fezandipiti ex,Charizard ex
162,Raging Bolt ex Teal Mask Ogerpon ex Fezandipiti ex Squawkabilly ex,Raging Bolt ex
163,Hoothoot Noctowl Duskull Dusknoir Terapagos ex Pidgey Pidgeot ex Fan Rotom Fezandipiti ex Bloodmoon Ursaluna ex,Terapagos ex
164,Raging Bolt ex Teal Mask Ogerpon ex Sandy Shocks Radiant Greninja Fezandipiti ex Squawkabilly ex,Raging Bolt ex
