ID,Rank,Category,Copies,Card Name,Set
2,2,Trainer,1,Iono,PAL 185
2,2,Trainer,4,Superior Energy Retrieval,PAL 189
2,2,Trainer,4,Nest Ball,SVI 181
2,2,Trainer,4,Buddy-Buddy Poffin,TEF 144
2,2,Trainer,3,Night Stretcher,SFA 61
2,2,Trainer,2,Ultra Ball,SVI 196
2,2,Trainer,1,Energy Search Pro,SSP 176
2,2,Trainer,1,Earthen Vessel,PAR 163
2,2,Trainer,1,Hisuian Heavy Ball,ASR 146
2,2,Trainer,1,Counter Catcher,PAR 160
2,2,Trainer,1,Canceling Cologne,ASR 136
2,2,Trainer,1,Switch,SVI 194
2,2,Trainer,2,PokéStop,PGO 68
2,2,Energy,3,Metal Energy,SVE 16
2,2,Energy,3,Water Energy,SVE 11
2,2,Energy,1,Grass Energy,SVE 9
2,2,Energy,1,Fire Energy,SVE 10
2,2,Energy,1,Lightning Energy,SVE 12
2,2,Energy,1,Psychic Energy,SVE 13
2,2,Energy,1,Fighting Energy,SVE 14
2,2,Energy,1,Darkness Energy,SVE 15
3,3,Pokémon,4,Gimmighoul,SSP 97
3,3,Pokémon,4,Gholdengo ex,PAR 139
3,3,Pokémon,2,Togepi,ASR 55
3,3,Pokémon,2,Togekiss,SSP 72
3,3,Pokémon,1,Radiant Greninja,ASR 46
3,3,Pokémon,1,Manaphy,BRS 41
3,3,Pokémon,1,Iron Bundle,PAR 56
3,3,Pokémon,1,Fezandipiti ex,SFA 38
3,3,Trainer,3,Irida,ASR 147
3,3,Trainer,3,Ciphermaniac's Codebreaking,TEF 145
3,3,Trainer,1,Boss's Orders,PAL 172
3,3,Trainer,4,Superior Energy Retrieval,PAL 189
3,3,Trainer,4,Buddy-Buddy Poffin,TEF 144
3,3,Trainer,3,Nest Ball,SVI 181
3,3,Trainer,3,Ultra Ball,SVI 196
3,3,Trainer,3,Night Stretcher,SFA 61
3,3,Trainer,2,Rare Candy,SVI 191
3,3,Trainer,1,Energy Search Pro,SSP 176
3,3,Trainer,1,Earthen Vessel,PAR 163
3,3,Trainer,1,Energy Retrieval,SVI 171
3,3,Trainer,1,Counter Catcher,PAR 160
3,3,Trainer,1,Canceling Cologne,ASR 136
3,3,Trainer,3,PokéStop,PGO 68
3,3,Energy,3,Metal Energy,SVE 16
3,3,Energy,1,Grass Energy,SVE 9
3,3,Energy,1,Fire Energy,SVE 10
3,3,Energy,1,Water Energy,SVE 11
3,3,Energy,1,Lightning Energy,SVE 12
3,3,Energy,1,Psychic Energy,SVE 13
3,3,Energy,1,Fighting Energy,SVE 14
3,3,Energy,1,Darkness Energy,SVE 15
4,4,Pokémon,4,Dreepy,TWM 128
4,4,Pokémon,3,Drakloak,TWM 129
4,4,Pokémon,3,Dragapult ex,TWM 130
4,4,Pokémon,1,Duskull,BRS 60
4,4,Pokémon,1,Duskull,SFA 18
4,4,Pokémon,1,Dusclops,SFA 19
4,4,Pokémon,1,Dusknoir,SFA 20
4,4,Pokémon,2,Rotom V,LOR 58
4,4,Pokémon,1,Radiant Alakazam,SIT 59
4,4,Pokémon,1,Fezandipiti ex,SFA 38
4,4,Pokémon,1,Lumineon V,BRS 40
4,4,Trainer,4,Arven,OBF 186
4,4,Trainer,3,Iono,PAL 185
4,4,Trainer,1,Crispin,SCR 133
4,4,Trainer,1,Boss's Orders,PAL 172
4,4,Trainer,4,Rare Candy,SVI 191
4,4,Trainer,4,Buddy-Buddy Poffin,TEF 144
4,4,Trainer,3,Ultra Ball,SVI 196
4,4,Trainer,3,Nest Ball,SVI 181
4,4,Trainer,2,Night Stretcher,SFA 61
4,4,Trainer,2,Counter Catcher,PAR 160
4,4,Trainer,2,Earthen Vessel,PAR 163
4,4,Trainer,1,Switch,SVI 194
4,4,Trainer,1,Tera Orb,SSP 189
4,4,Trainer,1,Rescue Board,TEF 159
4,4,Trainer,1,Sparkling Crystal,SCR 142
4,4,Trainer,1,Forest Seal Stone,SIT 156
4,4,Trainer,1,Pokémon League Headquarters,OBF 192
4,4,Energy,3,Psychic Energy,SVE 13
4,4,Energy,3,Fire Energy,SVE 10
5,5,Pokémon,4,Ralts,ASR 60
5,5,Pokémon,4,Kirlia,SIT 68
5,5,Pokémon,2,Gardevoir ex,SVI 86
5,5,Pokémon,2,Munkidori,TWM 95
5,5,Pokémon,1,Drifloon,SVI 89
5,5,Pokémon,1,Scream Tail,PAR 86
5,5,Pokémon,1,Flutter Mane,TEF 78
5,5,Pokémon,1,Klefki,SVI 96
5,5,Pokémon,1,Radiant Greninja,ASR 46
5,5,Pokémon,1,Manaphy,BRS 41
5,5,Trainer,4,Arven,OBF 186
5,5,Trainer,4,Iono,PAL 185
5,5,Trainer,1,Boss's Orders,PAL 172
5,5,Trainer,1,Professor Turo's Scenario,PAR 171
5,5,Trainer,4,Buddy-Buddy Poffin,TEF 144
5,5,Trainer,3,Earthen Vessel,PAR 163
5,5,Trainer,2,Ultra Ball,SVI 196
5,5,Trainer,2,Nest Ball,SVI 181
5,5,Trainer,2,Super Rod,PAL 188
5,5,Trainer,2,Counter Catcher,PAR 160
5,5,Trainer,1,Hisuian Heavy Ball,ASR 146
5,5,Trainer,1,Secret Box,TWM 163
5,5,Trainer,2,Technical Machine: Evolution,PAR 178
5,5,Trainer,2,Bravery Charm,PAL 173
5,5,Trainer,2,Artazon,PAL 171
5,5,Energy,7,Psychic Energy,SVE 13
5,5,Energy,2,Darkness Energy,SVE 15
6,6,Pokémon,3,Regidrago V,SIT 135
6,6,Pokémon,3,Regidrago VSTAR,SIT 136
6,6,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
6,6,Pokémon,1,Radiant Charizard,CRZ 20
6,6,Pokémon,1,Cleffa,OBF 80
6,6,Pokémon,1,Dragapult ex,TWM 130
6,6,Pokémon,1,Alolan Exeggutor ex,SSP 133
6,6,Pokémon,1,Giratina VSTAR,LOR 131
6,6,Pokémon,1,Hisuian Goodra VSTAR,LOR 136
6,6,Pokémon,1,Kyurem,SFA 47
6,6,Pokémon,1,Squawkabilly ex,PAL 169
6,6,Pokémon,1,Mew ex,MEW 151
6,6,Pokémon,1,Fezandipiti ex,SFA 38
6,6,Trainer,4,Professor's Research,SVI 189
6,6,Trainer,3,Iono,PAL 185
6,6,Trainer,2,Boss's Orders,PAL 172
6,6,Trainer,4,Nest Ball,SVI 181
6,6,Trainer,4,Ultra Ball,SVI 196
6,6,Trainer,4,Energy Switch,SVI 173
6,6,Trainer,4,Earthen Vessel,PAR 163
6,6,Trainer,1,Switch,SVI 194
6,6,Trainer,1,Canceling Cologne,ASR 136
6,6,Trainer,1,Superior Energy Retrieval,PAL 189
6,6,Trainer,1,Super Rod,PAL 188
6,6,Trainer,1,Night Stretcher,SFA 61
6,6,Trainer,1,Prime Catcher,TEF 157
6,6,Trainer,1,Jamming Tower,TWM 153
6,6,Energy,7,Grass Energy,SVE 9
6,6,Energy,2,Fire Energy,SVE 10
7,7,Pokémon,2,Klawf,PAR 105
7,7,Pokémon,2,Brute Bonnet,PAR 123
7,7,Pokémon,2,Terapagos ex,SCR 128
7,7,Pokémon,1,Latias ex,SSP 76
7,7,Pokémon,1,Radiant Hisuian Sneasler,LOR 123
7,7,Pokémon,1,Lumineon V,BRS 40
7,7,Pokémon,1,Fezandipiti ex,SFA 38
7,7,Pokémon,1,Oranguru V,ASR 133
7,7,Pokémon,1,Iron Bundle,PAR 56
7,7,Pokémon,1,Bloodmoon Ursaluna ex,TWM 141
7,7,Pokémon,1,Pecharunt ex,SFA 39
7,7,Pokémon,1,Squawkabilly ex,PAL 169
7,7,Trainer,4,Arven,OBF 186
7,7,Trainer,3,Boss's Orders,PAL 172
7,7,Trainer,1,Professor's Research,SVI 189
7,7,Trainer,1,Carmine,TWM 145
7,7,Trainer,1,Colress's Tenacity,SFA 57
7,7,Trainer,4,Nest Ball,SVI 181
7,7,Trainer,3,Ultra Ball,SVI 196
7,7,Trainer,3,Night Stretcher,SFA 61
7,7,Trainer,2,Switch Cart,ASR 154
7,7,Trainer,1,Hisuian Heavy Ball,ASR 146
7,7,Trainer,1,Energy Loto,ASR 140
7,7,Trainer,1,Precious Trolley,SSP 185
7,7,Trainer,3,Ancient Booster Energy Capsule,TEF 140
7,7,Trainer,3,Binding Mochi,SFA 55
7,7,Trainer,2,Forest Seal Stone,SIT 156
7,7,Trainer,1,Supereffective Glasses,ASR 152
7,7,Trainer,4,Area Zero Underdepths,SCR 131
7,7,Energy,4,Double Turbo Energy,BRS 151
8,8,Pokémon,3,Charmander,MEW 4
8,8,Pokémon,1,Charmeleon,PAF 8
8,8,Pokémon,2,Charizard ex,OBF 125
8,8,Pokémon,2,Duskull,SFA 18
8,8,Pokémon,1,Dusclops,SFA 19
8,8,Pokémon,1,Dusknoir,SFA 20
8,8,Pokémon,2,Pidgey,OBF 162
8,8,Pokémon,2,Pidgeot ex,OBF 164
8,8,Pokémon,1,Rotom V,LOR 58
8,8,Pokémon,1,Lumineon V,BRS 40
8,8,Pokémon,1,Fezandipiti ex,SFA 38
8,8,Pokémon,1,Cleffa,OBF 80
8,8,Pokémon,1,Radiant Charizard,CRZ 20
8,8,Trainer,4,Arven,OBF 186
8,8,Trainer,2,Boss's Orders,PAL 172
8,8,Trainer,2,Iono,PAL 185
8,8,Trainer,1,Professor Turo's Scenario,PAR 171
8,8,Trainer,1,Thorton,LOR 167
8,8,Trainer,1,Briar,SCR 132
8,8,Trainer,4,Buddy-Buddy Poffin,TEF 144
8,8,Trainer,4,Ultra Ball,SVI 196
8,8,Trainer,4,Rare Candy,SVI 191
8,8,Trainer,3,Nest Ball,SVI 181
8,8,Trainer,2,Counter Catcher,PAR 160
8,8,Trainer,2,Super Rod,PAL 188
8,8,Trainer,1,Night Stretcher,SFA 61
8,8,Trainer,1,Unfair Stamp,TWM 165
8,8,Trainer,1,Lost Vacuum,LOR 162
8,8,Trainer,1,Canceling Cologne,ASR 136
8,8,Trainer,1,Forest Seal Stone,SIT 156
8,8,Trainer,1,Defiance Band,SVI 169
8,8,Energy,5,Fire Energy,SVE 10
9,9,Pokémon,3,Roaring Moon ex,PAR 124
9,9,Pokémon,1,Roaring Moon,TEF 109
9,9,Pokémon,1,Koraidon,SSP 116
9,9,Pokémon,1,Fezandipiti ex,SFA 38
9,9,Pokémon,1,Pecharunt ex,SFA 39
9,9,Pokémon,1,Iron Bundle,PAR 56
9,9,Pokémon,1,Radiant Greninja,ASR 46
9,9,Pokémon,1,Lumineon V,BRS 40
9,9,Pokémon,1,Squawkabilly ex,PAL 169
9,9,Pokémon,1,Latias ex,SSP 76
9,9,Trainer,4,Professor Sada's Vitality,PAR 170
9,9,Trainer,2,Judge,SVI 176
9,9,Trainer,1,Boss's Orders,PAL 172
9,9,Trainer,4,Nest Ball,SVI 181
9,9,Trainer,4,Ultra Ball,SVI 196
9,9,Trainer,4,Earthen Vessel,PAR 163
9,9,Trainer,4,Trekking Shoes,ASR 156
9,9,Trainer,4,Dark Patch,ASR 139
9,9,Trainer,3,Pokémon Catcher,SVI 187
9,9,Trainer,2,Night Stretcher,SFA 61
9,9,Trainer,1,Prime Catcher,TEF 157
9,9,Trainer,1,Pal Pad,SVI 182
9,9,Trainer,4,PokéStop,PGO 68
9,9,Energy,9,Darkness Energy,SVE 15
10,10,Pokémon,3,Charmander,MEW 4
10,10,Pokémon,1,Charmeleon,PAF 8
10,10,Pokémon,2,Charizard ex,OBF 125
10,10,Pokémon,2,Duskull,SFA 18
10,10,Pokémon,1,Dusclops,SFA 19
10,10,Pokémon,1,Dusknoir,SFA 20
10,10,Pokémon,2,Pidgey,OBF 162
10,10,Pokémon,2,Pidgeot ex,OBF 164
10,10,Pokémon,1,Rotom V,LOR 58
10,10,Pokémon,1,Lumineon V,BRS 40
10,10,Pokémon,1,Fezandipiti ex,SFA 38
10,10,Pokémon,1,Cleffa,OBF 80
10,10,Pokémon,1,Radiant Charizard,CRZ 20
10,10,Trainer,4,Arven,OBF 186
10,10,Trainer,2,Boss's Orders,PAL 172
10,10,Trainer,2,Iono,PAL 185
10,10,Trainer,1,Professor Turo's Scenario,PAR 171
10,10,Trainer,1,Thorton,LOR 167
10,10,Trainer,1,Briar,SCR 132
10,10,Trainer,4,Buddy-Buddy Poffin,TEF 144
10,10,Trainer,4,Ultra Ball,SVI 196
10,10,Trainer,4,Rare Candy,SVI 191
10,10,Trainer,3,Nest Ball,SVI 181
10,10,Trainer,2,Counter Catcher,PAR 160
10,10,Trainer,2,Super Rod,PAL 188
10,10,Trainer,1,Night Stretcher,SFA 61
10,10,Trainer,1,Unfair Stamp,TWM 165
10,10,Trainer,1,Lost Vacuum,LOR 162
10,10,Trainer,1,Canceling Cologne,ASR 136
10,10,Trainer,1,Forest Seal Stone,SIT 156
10,10,Trainer,1,Defiance Band,SVI 169
10,10,Energy,5,Fire Energy,SVE 10
11,11,Pokémon,2,Miraidon ex,SVI 81
11,11,Pokémon,2,Iron Hands ex,PAR 70
11,11,Pokémon,1,Raikou V,BRS 48
11,11,Pokémon,1,Raichu V,BRS 45
11,11,Pokémon,1,Magnemite,PAL 65
11,11,Pokémon,1,Magneton,SSP 59
11,11,Pokémon,1,Pikachu ex,SSP 57
11,11,Pokémon,1,Latias ex,SSP 76
11,11,Pokémon,1,Mew ex,MEW 151
11,11,Pokémon,1,Fezandipiti ex,SFA 38
11,11,Pokémon,1,Squawkabilly ex,PAL 169
11,11,Pokémon,1,Lumineon V,BRS 40
11,11,Pokémon,1,Iron Bundle,PAR 56
11,11,Trainer,4,Arven,OBF 186
11,11,Trainer,4,Boss's Orders,PAL 172
11,11,Trainer,4,Electric Generator,SVI 170
11,11,Trainer,4,Nest Ball,SVI 181
11,11,Trainer,3,Ultra Ball,SVI 196
11,11,Trainer,1,Hisuian Heavy Ball,ASR 146
11,11,Trainer,1,Counter Catcher,PAR 160
11,11,Trainer,1,Night Stretcher,SFA 61
11,11,Trainer,1,Secret Box,TWM 163
11,11,Trainer,1,Bravery Charm,PAL 173
11,11,Trainer,1,Rescue Board,TEF 159
11,11,Trainer,1,Forest Seal Stone,SIT 156
11,11,Trainer,2,Area Zero Underdepths,SCR 131
11,11,Energy,16,Lightning Energy,SVE 12
11,11,Energy,1,Double Turbo Energy,BRS 151
12,12,Pokémon,2,Miraidon ex,SVI 81
12,12,Pokémon,2,Iron Hands ex,PAR 70
12,12,Pokémon,2,Raikou V,BRS 48
12,12,Pokémon,1,Raichu V,BRS 45
12,12,Pokémon,1,Magnemite,SVI 63
12,12,Pokémon,1,Magneton,SSP 59
12,12,Pokémon,1,Pikachu ex,SSP 57
12,12,Pokémon,1,Rotom V,LOR 58
12,12,Pokémon,1,Bloodmoon Ursaluna ex,TWM 141
12,12,Pokémon,1,Latias ex,SSP 76
12,12,Pokémon,1,Mew ex,MEW 151
12,12,Pokémon,1,Fezandipiti ex,SFA 38
12,12,Pokémon,1,Squawkabilly ex,PAL 169
12,12,Pokémon,1,Lumineon V,BRS 40
12,12,Pokémon,1,Radiant Greninja,ASR 46
12,12,Pokémon,1,Iron Bundle,PAR 56
12,12,Trainer,3,Boss's Orders,PAL 172
12,12,Trainer,3,Irida,ASR 147
12,12,Trainer,1,Arven,OBF 186
12,12,Trainer,4,Electric Generator,SVI 170
12,12,Trainer,4,Nest Ball,SVI 181
12,12,Trainer,2,Ultra Ball,SVI 196
12,12,Trainer,1,Hisuian Heavy Ball,ASR 146
12,12,Trainer,1,Secret Box,TWM 163
12,12,Trainer,1,Switch Cart,ASR 154
12,12,Trainer,1,Super Rod,PAL 188
12,12,Trainer,1,Bravery Charm,PAL 173
12,12,Trainer,1,Forest Seal Stone,SIT 156
12,12,Trainer,2,Area Zero Underdepths,SCR 131
12,12,Energy,15,Lightning Energy,SVE 12
12,12,Energy,1,Double Turbo Energy,BRS 151
13,13,Pokémon,4,Gimmighoul,SSP 97
13,13,Pokémon,4,Gholdengo ex,PAR 139
13,13,Pokémon,1,Togepi,SSP 70
13,13,Pokémon,1,Togekiss,SSP 72
13,13,Pokémon,1,Fezandipiti ex,SFA 38
13,13,Pokémon,1,Radiant Greninja,ASR 46
13,13,Pokémon,1,Manaphy,BRS 41
13,13,Pokémon,1,Iron Bundle,PAR 56
13,13,Trainer,3,Ciphermaniac's Codebreaking,TEF 145
13,13,Trainer,3,Irida,ASR 147
13,13,Trainer,1,Boss's Orders,PAL 172
13,13,Trainer,1,Thorton,LOR 167
13,13,Trainer,4,Buddy-Buddy Poffin,TEF 144
13,13,Trainer,4,Superior Energy Retrieval,PAL 189
13,13,Trainer,4,Night Stretcher,SFA 61
13,13,Trainer,3,Nest Ball,SVI 181
13,13,Trainer,2,Rare Candy,SVI 191
13,13,Trainer,2,Ultra Ball,SVI 196
13,13,Trainer,1,Energy Search Pro,SSP 176
13,13,Trainer,1,Earthen Vessel,PAR 163
13,13,Trainer,1,Lost Vacuum,LOR 162
13,13,Trainer,1,Counter Catcher,PAR 160
13,13,Trainer,1,Hisuian Heavy Ball,ASR 146
13,13,Trainer,1,Canceling Cologne,ASR 136
13,13,Trainer,3,PokéStop,PGO 68
13,13,Energy,3,Metal Energy,SVE 16
13,13,Energy,1,Grass Energy,SVE 9
13,13,Energy,1,Water Energy,SVE 11
13,13,Energy,1,Fire Energy,SVE 10
13,13,Energy,1,Lightning Energy,SVE 12
13,13,Energy,1,Psychic Energy,SVE 13
13,13,Energy,1,Fighting Energy,SVE 14
13,13,Energy,1,Darkness Energy,SVE 15
14,14,Pokémon,3,Regidrago V,SIT 135
14,14,Pokémon,3,Regidrago VSTAR,SIT 136
14,14,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
14,14,Pokémon,1,Dragapult ex,TWM 130
14,14,Pokémon,1,Giratina VSTAR,LOR 131
14,14,Pokémon,1,Hisuian Goodra VSTAR,LOR 136
14,14,Pokémon,1,Alolan Exeggutor ex,SSP 133
14,14,Pokémon,1,Kyurem,SFA 47
14,14,Pokémon,1,Squawkabilly ex,PAL 169
14,14,Pokémon,1,Fezandipiti ex,SFA 38
14,14,Pokémon,1,Mew ex,MEW 151
14,14,Pokémon,1,Cleffa,OBF 80
14,14,Pokémon,1,Radiant Charizard,CRZ 20
14,14,Trainer,4,Professor's Research,SVI 189
14,14,Trainer,2,Iono,PAL 185
14,14,Trainer,2,Boss's Orders,PAL 172
14,14,Trainer,4,Ultra Ball,SVI 196
14,14,Trainer,4,Nest Ball,SVI 181
14,14,Trainer,4,Energy Switch,SVI 173
14,14,Trainer,4,Earthen Vessel,PAR 163
14,14,Trainer,2,Super Rod,PAL 188
14,14,Trainer,1,Superior Energy Retrieval,PAL 189
14,14,Trainer,1,Tera Orb,SSP 189
14,14,Trainer,1,Canceling Cologne,ASR 136
14,14,Trainer,1,Switch,SVI 194
14,14,Trainer,1,Prime Catcher,TEF 157
14,14,Trainer,1,PokéStop,PGO 68
14,14,Energy,7,Grass Energy,SVE 9
14,14,Energy,2,Fire Energy,SVE 10
15,15,Pokémon,3,Regidrago V,SIT 135
15,15,Pokémon,3,Regidrago VSTAR,SIT 136
15,15,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
15,15,Pokémon,2,Dragapult ex,TWM 130
15,15,Pokémon,1,Giratina VSTAR,LOR 131
15,15,Pokémon,1,Kyurem,SFA 47
15,15,Pokémon,1,Hoothoot,SCR 114
15,15,Pokémon,1,Noctowl,SCR 115
15,15,Pokémon,1,Squawkabilly ex,PAL 169
15,15,Pokémon,1,Fezandipiti ex,SFA 38
15,15,Pokémon,1,Mew ex,MEW 151
15,15,Pokémon,1,Cleffa,OBF 80
15,15,Pokémon,1,Radiant Charizard,CRZ 20
15,15,Trainer,4,Professor's Research,SVI 189
15,15,Trainer,2,Iono,PAL 185
15,15,Trainer,2,Boss's Orders,PAL 172
15,15,Trainer,4,Ultra Ball,SVI 196
15,15,Trainer,4,Nest Ball,SVI 181
15,15,Trainer,4,Energy Switch,SVI 173
15,15,Trainer,3,Earthen Vessel,PAR 163
15,15,Trainer,2,Super Rod,PAL 188
15,15,Trainer,1,Canceling Cologne,ASR 136
15,15,Trainer,1,Switch,SVI 194
15,15,Trainer,1,Prime Catcher,TEF 157
15,15,Trainer,1,Jamming Tower,TWM 153
15,15,Trainer,1,Temple of Sinnoh,ASR 155
15,15,Energy,7,Grass Energy,SVE 9
15,15,Energy,3,Fire Energy,SVE 10
16,16,Pokémon,3,Regidrago V,SIT 135
16,16,Pokémon,3,Regidrago VSTAR,SIT 136
16,16,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
16,16,Pokémon,1,Dragapult ex,TWM 130
16,16,Pokémon,1,Giratina VSTAR,LOR 131
16,16,Pokémon,1,Hisuian Goodra VSTAR,LOR 136
16,16,Pokémon,1,Alolan Exeggutor ex,SSP 133
16,16,Pokémon,1,Kyurem,SFA 47
16,16,Pokémon,1,Squawkabilly ex,PAL 169
16,16,Pokémon,1,Fezandipiti ex,SFA 38
16,16,Pokémon,1,Mew ex,MEW 151
16,16,Pokémon,1,Cleffa,OBF 80
16,16,Pokémon,1,Radiant Charizard,CRZ 20
16,16,Trainer,4,Professor's Research,SVI 189
16,16,Trainer,2,Iono,PAL 185
16,16,Trainer,2,Boss's Orders,PAL 172
16,16,Trainer,4,Ultra Ball,SVI 196
16,16,Trainer,4,Nest Ball,SVI 181
16,16,Trainer,4,Energy Switch,SVI 173
16,16,Trainer,4,Earthen Vessel,PAR 163
16,16,Trainer,2,Superior Energy Retrieval,PAL 189
16,16,Trainer,1,Super Rod,PAL 188
16,16,Trainer,1,Tera Orb,SSP 189
16,16,Trainer,1,Canceling Cologne,ASR 136
16,16,Trainer,1,Switch,SVI 194
16,16,Trainer,1,Prime Catcher,TEF 157
16,16,Trainer,1,PokéStop,PGO 68
16,16,Energy,7,Grass Energy,SVE 9
16,16,Energy,2,Fire Energy,SVE 10
17,1,Pokémon,3,Regidrago V,SIT 135
17,1,Pokémon,3,Regidrago VSTAR,SIT 136
17,1,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
17,1,Pokémon,2,Dragapult ex,TWM 130
17,1,Pokémon,1,Giratina VSTAR,LOR 131
17,1,Pokémon,1,Kyurem,SFA 47
17,1,Pokémon,1,Squawkabilly ex,PAL 169
17,1,Pokémon,1,Fezandipiti ex,SFA 38
17,1,Pokémon,1,Mew ex,MEW 151
17,1,Pokémon,1,Cleffa,OBF 80
17,1,Pokémon,1,Radiant Charizard,CRZ 20
17,1,Pokémon,1,Hawlucha,SVI 118
17,1,Trainer,4,Professor's Research,SVI 189
17,1,Trainer,3,Iono,PAL 185
17,1,Trainer,2,Boss's Orders,PAL 172
17,1,Trainer,4,Ultra Ball,SVI 196
17,1,Trainer,4,Nest Ball,SVI 181
17,1,Trainer,4,Energy Switch,SVI 173
17,1,Trainer,4,Earthen Vessel,PAR 163
17,1,Trainer,2,Super Rod,PAL 188
17,1,Trainer,1,Superior Energy Retrieval,PAL 189
17,1,Trainer,1,Switch,SVI 194
17,1,Trainer,1,Prime Catcher,TEF 157
17,1,Trainer,1,Temple of Sinnoh,ASR 155
17,1,Trainer,1,Jamming Tower,TWM 153
17,1,Energy,7,Grass Energy,SVE 9
17,1,Energy,2,Fire Energy,SVE 10
18,2,Pokémon,3,Regidrago V,SIT 135
18,2,Pokémon,3,Regidrago VSTAR,SIT 136
18,2,Pokémon,3,Teal Mask Ogerpon ex,TWM 25
18,2,Pokémon,1,Dragapult ex,TWM 130
18,2,Pokémon,1,Giratina VSTAR,LOR 131
18,2,Pokémon,1,Hisuian Goodra VSTAR,LOR 136
18,2,Pokémon,1,Alolan Exeggutor ex,SSP 133
18,2,Pokémon,1,Kyurem,SFA 47
18,2,Pokémon,1,Squawkabilly ex,PAL 169
18,2,Pokémon,1,Fezandipiti ex,SFA 38
18,2,Pokémon,1,Mew ex,MEW 151
18,2,Pokémon,1,Cleffa,OBF 80
18,2,Pokémon,1,Radiant Charizard,CRZ 20
18,2,Trainer,4,Professor's Research,SVI 189
18,2,Trainer,2,Iono,PAL 185
18,2,Trainer,2,Boss's Orders,PAL 172
18,2,Trainer,4,Ultra Ball,SVI 196
18,2,Trainer,4,Nest Ball,SVI 181
18,2,Trainer,4,Energy Switch,SVI 173
18,2,Trainer,4,Earthen Vessel,PAR 163
18,2,Trainer,2,Super Rod,PAL 188
18,2,Trainer,1,Superior Energy Retrieval,PAL 189
18,2,Trainer,1,Tera Orb,SSP 189
18,2,Trainer,1,Canceling Cologne,ASR 136
18,2,Trainer,1,Switch,SVI 194
18,2,Trainer,1,Prime Catcher,TEF 157
18,2,Trainer,1,PokéStop,PGO 68
18,2,Energy,7,Grass Energy,SVE 9
18,2,Energy,2,Fire Energy,SVE 10
19,3,Pokémon,3,Charmander,MEW 4
19,3,Pokémon,1,Charmeleon,PAF 8
19,3,Pokémon,2,Charizard ex,OBF 125
19,3,Pokémon,2,Pidgey,OBF 162
19,3,Pokémon,2,Pidgeot ex,OBF 164
19,3,Pokémon,2,Duskull,BRS 60
19,3,Pokémon,1,Dusclops,SFA 19
19,3,Pokémon,1,Dusknoir,SFA 20
19,3,Pokémon,1,Radiant Charizard,CRZ 20
19,3,Pokémon,1,Cleffa,OBF 80
19,3,Pokémon,1,Lumineon V,BRS 40
19,3,Pokémon,1,Rotom V,LOR 58
19,3,Pokémon,1,Fezandipiti ex,SFA 38
19,3,Trainer,4,Arven,OBF 186
19,3,Trainer,2,Iono,PAL 185
19,3,Trainer,2,Boss's Orders,PAL 172
